question,answer,category,source_name,source_url,verified_by,verified_at,review_status,published,tags,notes
Làm thế nào để xem thời khóa biểu trên FAP?,"Bạn đăng nhập vào trang FAP, tại giao diện chính chọn mục 'Weekly timetable' để xem lịch học chi tiết theo tuần.",learning_tools,Mô tả website nhà trường,,,,draft,false,"FAP, timetable",
Phòng ICPDP nằm ở đâu trong tòa nhà Delta?,"Phòng ban ICPDP nằm ở Tầng 1 của tòa nhà Delta, gần khu vực sảnh chính và cầu thang.",admin_services,MAPPING DELTA.xlsx,,,,draft,false,"Delta, map, ICPDP",
Thư viện trường nằm ở tầng mấy tòa Delta?,Thư viện trường Đại học FPT có lối vào và không gian kéo dài ở cả Tầng 1 và Tầng 2 của tòa nhà Delta.,campus_life,MAPPING DELTA.xlsx,,,,draft,false,"library, Delta, campus",
Hệ thống FPTU Student Guide có những chức năng chính nào?,"Hệ thống có 3 luồng chức năng chính: 3D mapping tìm đường trong tòa nhà, Hướng dẫn thi cử, và Hướng dẫn sử dụng các website nhà trường.",campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"guide, features",
Làm sao để tìm đường đến phòng C404?,Phòng C404 nằm ở Tầng 4 của tòa nhà Delta. Bạn có thể sử dụng chức năng 3D mapping trên ứng dụng FPTU Student Guide để xem đường đi.,campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, Delta, map, 3D",
Mình muốn tìm hướng dẫn sử dụng Coursera thì xem ở đâu?,"Bạn truy cập mục 'Hướng dẫn sử dụng các website nhà trường' trên trang chủ ứng dụng, chọn thẻ Coursera để đọc hướng dẫn.",learning_tools,Mô tả website nhà trường,,,,draft,false,"learning, website, coursera",
Quy định về việc thi lại (resit) như thế nào?,Sinh viên được phép thi lại lần 2 và tính kết quả lần 2. Không có chuyện nếu điểm lần 1 cao hơn 4.0 là không được thi lại.,exam_guide,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, resit, rules",
Phòng Startup nằm ở đâu?,"Phòng Startup nằm ở Tầng 1 tòa Delta, gần khu vực nhà vệ sinh nam nữ và cửa thư viện.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"Delta, map, startup",
Nhà vệ sinh nam tầng 3 ở đoạn nào?,Nhà vệ sinh nam tầng 3 nằm đối diện phòng C306 và đối diện khu vực phòng C301.,campus_life,MAPPING DELTA.xlsx,,,,draft,false,"toilet, map, floor 3",
Nhà vệ sinh nữ tầng 4 ở đâu?,Nhà vệ sinh nữ tầng 4 nằm cạnh phòng 425 và đối diện phòng C405.,campus_life,MAPPING DELTA.xlsx,,,,draft,false,"toilet, map, floor 4",
Có bao nhiêu luồng trong ứng dụng FPTU Student Guide?,"Có đúng 3 luồng: 3D Mapping, Hướng dẫn thi cử, và Hướng dẫn web nhà trường.",campus_life,Mô tả website nhà trường,,,,draft,false,"app, features",
Phòng C201 nằm ở tầng mấy?,Phòng C201 nằm ở Tầng 2 tòa nhà Delta.,campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 2",
Phòng C305 nằm ở đâu?,"Phòng C305 nằm ở Tầng 3 tòa nhà Delta, phía trước Nhà vệ sinh nữ.",campus_life,MAPPING DELTA.xlsx,,,,draft,false,"room, map, floor 3",
Làm sao để biết phòng thi của mình?,"Bạn cần đăng nhập FAP, vào phần Exam Schedule để xem thời gian, ca thi và số phòng thi cụ thể.",learning_tools,Mô tả website nhà trường,,,,draft,false,"fap, exam, schedule",
Ứng dụng FPTU Student Guide do ai phát triển?,"Dự án được phát triển bởi nhóm sinh viên Triple N 01, gồm các thành viên Nguyễn Thế Anh, Trần Công Du và Bùi Gia Huy.",campus_life,Report FPTU_Student_Guide.pdf,,,,draft,false,"team, about",
