title,slug,category,excerpt,content_md,source_name,source_url,verified_by,verified_at,review_status,published,tags,order_index,notes
Hướng dẫn sử dụng FAP cơ bản,huong-dan-fap-co-ban,learning_tools,Tổng quan về các chức năng chính của FAP.,"FAP (FPT Academic Portal) là cổng thông tin học tập. Các chức năng: xem thời khóa biểu, điểm danh, kết quả học tập.",Mô tả website nhà trường,,,,draft,false,"FAP, guide",1,
Quy định thi lại (Resit) cập nhật,quy-dinh-thi-lai-resit,exam_guide,Thông tin chuẩn xác nhất về quyền lợi thi lại của sinh viên.,Sinh viên được phép thi lại lần 2 và tính kết quả lần 2 với kỳ thi FE. Tuyệt đối không có chuyện nếu điểm thi cao hơn 4.0 là không được thi lại.,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, resit",2,Quan trọng
Bản đồ Tầng 1 - Tòa Delta,ban-do-tang-1-delta,campus_life,Khám phá các phòng ban và tiện ích tại Tầng 1.,"Tầng 1 bao gồm phòng ICPDP, Thư viện, phòng Startup, các phòng học từ 103-112 và khu vực vệ sinh nam/nữ.",MAPPING DELTA.xlsx,,,,draft,false,"map, floor 1",3,
Bản đồ Tầng 2 - Tòa Delta,ban-do-tang-2-delta,campus_life,Khám phá Tầng 2 tòa nhà Delta.,"Tầng 2 có lối vào Thư viện (thông tầng), các phòng Lab từ C201 đến C210, và các phòng học 211-227.",MAPPING DELTA.xlsx,,,,draft,false,"map, floor 2",4,
Bản đồ Tầng 3 - Tòa Delta,ban-do-tang-3-delta,campus_life,Sơ đồ các phòng học tại Tầng 3.,Tầng 3 tập trung các phòng học C301-C310 và các phòng từ 311-339. Khu vệ sinh nằm ở giữa dãy C.,MAPPING DELTA.xlsx,,,,draft,false,"map, floor 3",5,
Bản đồ Tầng 4 - Tòa Delta,ban-do-tang-4-delta,campus_life,Hướng dẫn di chuyển Tầng 4.,Tầng 4 có các phòng học dãy C (C401-C410) và dãy phòng thường từ 411 đổ đi.,MAPPING DELTA.xlsx,,,,draft,false,"map, floor 4",6,
Giới thiệu dự án FPTU Student Guide,gioi-thieu-student-guide,campus_life,Nguồn gốc và sứ mệnh của dự án 3D Mapping.,"Dự án do team Triple N 01 (Nguyễn Thế Anh, Trần Công Du, Bùi Gia Huy) phát triển, giải quyết vấn đề lạc đường của sinh viên.",Report FPTU_Student_Guide.pdf,,,,draft,false,"project, team",7,
Hướng dẫn dùng EduNext,huong-dan-edunext,learning_tools,Cách tham gia lớp học và thi lab trên edunext.,Giao diện EduNext chia theo từng slot học. Sinh viên có thể dùng edunext để thực hiện các bài kiểm tra được giáo viên upload lên.,Mô tả website nhà trường,,,,draft,false,"edunext, guide",8,
Hướng dẫn dùng Coursera,huong-dan-coursera,learning_tools,Quy trình liên kết tài khoản và học Coursera.,Sử dụng email @fpt.edu.vn để đăng nhập. Bạn phải hoàn thành 100% video và bài test mới được tính điểm pass.,Mô tả website nhà trường,,,,draft,false,"coursera, guide",9,
Hướng dẫn xem thời khóa biểu (Weekly Timetable),xem-thoi-khoa-bieu,learning_tools,Cách xem lịch học chi tiết trong tuần.,"Trên FAP, chọn 'Weekly timetable'. Hệ thống hiển thị lịch học theo thứ, ngày, giờ, phòng học (ví dụ: C404) và giảng viên.",Mô tả website nhà trường,,,,draft,false,"timetable, fap",10,
Quy định phòng thi tự luận (PE),quy-dinh-thi-pe,exam_guide,Những vật dụng được và không được mang vào phòng thi thực hành.,"Chỉ mang theo thẻ sinh viên, bút, máy tính. Mọi thiết bị lưu trữ, điện thoại phải tắt nguồn và để tại bục giảng viên.",Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, pe",11,
Quy định phòng thi trắc nghiệm (FE/EOS),quy-dinh-thi-fe,exam_guide,Chuẩn bị cho bài thi lý thuyết cuối kỳ.,Sử dụng phần mềm EOS. Nhớ mang theo thẻ sinh viên và nhớ các thao tác nộp bài.,Report FPTU_Student_Guide.pdf,,,,draft,false,"exam, fe, eos",12,
Cách liên hệ phòng ICPDP,lien-he-icpdp,admin_services,Hướng dẫn tìm và làm việc với phòng Công tác sinh viên quốc tế.,Phòng ICPDP đặt tại Tầng 1. Bạn có thể đến trực tiếp trong giờ hành chính để được hỗ trợ.,MAPPING DELTA.xlsx,,,,draft,false,"icpdp, admin",13,
Giới thiệu phòng Startup,gioi-thieu-startup,campus_life,Không gian ươm mầm khởi nghiệp tại Tầng 1.,Phòng Startup dành cho các câu lạc bộ và dự án sinh viên. Đăng ký sử dụng qua bộ phận chức năng nhà trường.,MAPPING DELTA.xlsx,,,,draft,false,"startup, room",14,
Hướng dẫn sử dụng Thư viện FPTU,su-dung-thu-vien,campus_life,Nội quy và cách tra cứu sách tại thư viện.,"Thư viện gồm Tầng 1 và 2 tòa Delta. Không mang đồ ăn, thức uống, không hút thuốc lá trong thư viện.",MAPPING DELTA.xlsx,,,,draft,false,"library, guide",15,
Cách xem điểm và Attendance trên FAP,xem-diem-attendance-fap,learning_tools,Quản lý tiến độ học tập cá nhân.,Truy cập FAP -> Academic Information -> Attendance / Mark Report để theo dõi phần trăm vắng mặt và điểm số.,Mô tả website nhà trường,,,,draft,false,"fap, attendance",16,
Kiến trúc kỹ thuật của 3D Mapping,kien-truc-3d-mapping,campus_life,Tìm hiểu cách hệ thống bản đồ hoạt động.,"Sử dụng FastAPI, định tuyến đa tầng, kết nối frontend 3D với CSDL backend để tìm đường tối ưu.",Report FPTU_Student_Guide.pdf,,,,draft,false,"tech, mapping",17,
